awaypos,card_type,comment,del,elapsed,elapsed_plus,event_incident_typefk,goal_type,homepos,id,injury_time,match_id,n,pos_x,pos_y,possession,sortorder,stats,subtype,type,value
45,,55,,90,2,352,,55,468377,,1758,144,,,,0,,possession,special,
38,,62,,25,,352,,62,477661,,1759,56,,,,3,,possession,special,
43,,57,,45,2,352,,57,477776,,1759,31,,,,0,,possession,special,
45,,55,,70,,352,,55,477917,,1759,153,,,,1,,possession,special,
48,,52,,90,7,352,,52,478076,,1759,239,,,,0,,possession,special,
50,,50,,25,,352,,50,479415,,1760,60,,,,0,,possession,special,
35,,65,,45,,352,,65,479497,,1760,101,,,,0,,possession,special,
48,,52,,69,,352,,52,479651,,1760,150,,,,0,,possession,special,
49,,51,,90,,352,,51,479719,,1760,189,,,,3,,possession,special,
47,,53,,25,,352,,53,478368,,1761,68,,,,0,,possession,special,
52,,48,,45,,352,,48,478546,,1761,103,,,,3,,possession,special,
46,,54,,70,,352,,54,478910,,1761,152,,,,5,,possession,special,
45,,55,,90,,352,,55,479085,,1761,188,,,,0,,possession,special,
49,,51,,25,,352,,51,478375,,1762,93,,,,0,,possession,special,
43,,57,,45,3,352,,57,478584,,1762,207,,,,2,,possession,special,
49,,51,,70,,352,,51,478938,,1762,235,,,,3,,possession,special,
45,,55,,90,4,352,,55,479140,,1762,251,,,,0,,possession,special,
40,,60,,25,,352,,60,481430,,1763,73,,,,5,,possession,special,
33,,67,,45,2,352,,67,481700,,1763,125,,,,0,,possession,special,
42,,58,,70,,352,,58,482230,,1763,203,,,,1,,possession,special,
44,,56,,90,3,352,,56,482654,,1763,272,,,,2,,possession,special,
43,,57,,25,,352,,57,481436,,1764,36,,,,1,,possession,special,
52,,48,,45,,352,,48,481721,,1764,90,,,,1,,possession,special,
62,,38,,70,,352,,38,482276,,1764,186,,,,1,,possession,special,
55,,45,,90,,352,,45,482684,,1764,206,,,,0,,possession,special,
57,,43,,25,,352,,43,480587,,1765,84,,,,1,,possession,special,
57,,43,,45,,352,,43,480748,,1765,134,,,,1,,possession,special,
56,,44,,70,,352,,44,481034,,1765,184,,,,3,,possession,special,
60,,40,,90,,352,,40,481320,,1765,222,,,,1,,possession,special,
47,,53,,25,,352,,53,482207,,1766,69,,,,0,,possession,special,
51,,49,,45,,352,,49,482588,,1766,121,,,,2,,possession,special,
71,,29,,57,,352,,29,482837,,1766,147,,,,0,,possession,special,
48,,52,,71,,352,,52,482956,,1766,173,,,,0,,possession,special,
47,,53,,90,,352,,53,483231,,1766,222,,,,1,,possession,special,
40,,60,,25,,352,,60,478377,,1767,63,,,,2,,possession,special,
47,,53,,45,,352,,53,478560,,1767,103,,,,0,,possession,special,
48,,52,,70,,352,,52,478909,,1767,163,,,,0,,possession,special,
45,,55,,90,1,352,,55,479108,,1767,221,,,,1,,possession,special,
53,,47,,25,,352,,47,477663,,1768,71,,,,1,,possession,special,
49,,51,,45,,352,,51,477766,,1768,65,,,,0,,possession,special,
45,,55,,70,,352,,55,477947,,1768,175,,,,0,,possession,special,
43,,57,,90,,352,,57,478034,,1768,172,,,,0,,possession,special,
41,,59,,26,,352,,59,487262,,1769,37,,,,2,,possession,special,
41,,59,,45,1,352,,59,487623,,1769,80,,,,2,,possession,special,
47,,53,,72,,352,,53,488163,,1769,144,,,,0,,possession,special,
42,,58,,90,3,352,,58,488495,,1769,188,,,,0,,possession,special,
44,,56,,25,,352,,56,487241,,1770,74,,,,1,,possession,special,
42,,58,,45,,352,,58,487573,,1770,120,,,,0,,possession,special,
47,,53,,70,,352,,53,488115,,1770,173,,,,0,,possession,special,
47,,53,,90,1,352,,53,488438,,1770,217,,,,2,,possession,special,
53,,47,,25,,352,,47,487255,,1771,68,,,,2,,possession,special,
50,,50,,45,,352,,50,487574,,1771,94,,,,2,,possession,special,
53,,47,,71,,352,,47,488145,,1771,161,,,,0,,possession,special,
50,,50,,90,1,352,,50,488470,,1771,205,,,,1,,possession,special,
17,,83,,26,,352,,83,489993,,1772,62,,,,1,,possession,special,
39,,61,,45,1,352,,61,490225,,1772,115,,,,3,,possession,special,
41,,59,,72,,352,,59,490684,,1772,202,,,,0,,possession,special,
45,,55,,90,1,352,,55,490909,,1772,249,,,,1,,possession,special,
46,,54,,26,,352,,54,487260,,1773,60,,,,0,,possession,special,
50,,50,,45,1,352,,50,487595,,1773,102,,,,3,,possession,special,
53,,47,,72,,352,,47,488176,,1773,193,,,,0,,possession,special,
46,,54,,90,1,352,,54,488536,,1773,252,,,,1,,possession,special,
42,,58,,24,,352,,58,487202,,1774,58,,,,4,,possession,special,
40,,60,,45,,352,,60,487546,,1774,103,,,,3,,possession,special,
52,,48,,70,,352,,48,488119,,1774,170,,,,0,,possession,special,
50,,50,,90,,352,,50,488457,,1774,219,,,,1,,possession,special,
49,,51,,25,,352,,51,487237,,1775,64,,,,2,,possession,special,
45,,55,,45,2,352,,55,487592,,1775,115,,,,2,,possession,special,
48,,52,,70,,352,,52,488097,,1775,194,,,,3,,possession,special,
48,,52,,90,5,352,,52,488497,,1775,256,,,,1,,possession,special,
53,,47,,28,,352,,47,486529,,1776,63,,,,0,,possession,special,
61,,39,,45,1,352,,39,486563,,1776,96,,,,0,,possession,special,
51,,49,,72,,352,,49,486664,,1776,161,,,,0,,possession,special,
52,,48,,90,,352,,48,486763,,1776,213,,,,4,,possession,special,
58,,42,,25,,352,,42,488676,,1777,54,,,,0,,possession,special,
,,,,45,,352,,,488711,,1777,95,,,,3,,possession,special,
53,,47,,70,,352,,47,488786,,1777,135,,,,0,,possession,special,
51,,49,,90,,352,,49,488877,,1777,192,,,,0,,possession,special,
47,,53,,25,,352,,53,491519,,1778,62,,,,3,,possession,special,
47,,53,,45,,352,,53,491750,,1778,96,,,,2,,possession,special,
47,,53,,70,,352,,53,492178,,1778,184,,,,3,,possession,special,
48,,52,,90,,352,,52,492425,,1778,237,,,,4,,possession,special,
59,,41,,25,,352,,41,495472,,1779,65,,,,2,,possession,special,
57,,43,,45,2,352,,43,495863,,1779,120,,,,1,,possession,special,
52,,48,,72,,352,,48,496409,,1779,174,,,,0,,possession,special,
47,,53,,90,,352,,53,496721,,1779,225,,,,4,,possession,special,
50,,50,,25,,352,,50,499966,,1780,87,,,,1,,possession,special,
55,,45,,45,,352,,45,500187,,1780,164,,,,0,,possession,special,
31,,69,,70,,352,,69,500562,,1780,215,,,,0,,possession,special,
44,,56,,90,,352,,56,500816,,1780,285,,,,0,,possession,special,
53,,47,,25,,352,,47,498826,,1781,66,,,,2,,possession,special,
41,,59,,45,1,352,,59,498979,,1781,118,,,,1,,possession,special,
25,,75,,66,,352,,75,499298,,1781,171,,,,2,,possession,special,
47,,53,,90,1,352,,53,499478,,1781,230,,,,1,,possession,special,
61,,39,,25,,352,,39,497164,,1782,68,,,,0,,possession,special,
60,,40,,45,1,352,,40,497290,,1782,115,,,,3,,possession,special,
58,,42,,70,,352,,42,497582,,1782,195,,,,1,,possession,special,
60,,40,,90,4,352,,40,497748,,1782,221,,,,0,,possession,special,
44,,56,,25,,352,,56,495409,,1783,51,,,,4,,possession,special,
47,,53,,45,,352,,53,495770,,1783,104,,,,1,,possession,special,
50,,50,,72,,352,,50,496384,,1783,143,,,,0,,possession,special,
49,,51,,90,1,352,,51,496712,,1783,221,,,,0,,possession,special,
55,,45,,25,,352,,45,495416,,1784,58,,,,4,,possession,special,
53,,47,,45,,352,,47,495789,,1784,142,,,,2,,possession,special,
55,,45,,70,,352,,45,496382,,1784,213,,,,0,,possession,special,
46,,54,,90,,352,,54,496727,,1784,128,,,,1,,possession,special,
35,,65,,25,,352,,65,495423,,1785,39,,,,3,,possession,special,
43,,57,,45,1,352,,57,495811,,1785,100,,,,1,,possession,special,
47,,53,,70,,352,,53,496381,,1785,199,,,,0,,possession,special,
46,,54,,90,1,352,,54,496741,,1785,271,,,,1,,possession,special,
43,,57,,26,,352,,57,495428,,1786,49,,,,0,,possession,special,
41,,59,,45,1,352,,59,495803,,1786,91,,,,0,,possession,special,
49,,51,,72,,352,,51,496387,,1786,159,,,,1,,possession,special,
45,,55,,90,2,352,,55,496726,,1786,221,,,,0,,possession,special,
55,,45,,25,,352,,45,502033,,1787,77,,,,2,,possession,special,
56,,44,,45,,352,,44,502088,,1787,128,,,,1,,possession,special,
52,,48,,70,,352,,48,502176,,1787,222,,,,4,,possession,special,
34,,66,,25,,352,,66,495432,,1788,75,,,,0,,possession,special,
38,,62,,45,2,352,,62,495838,,1788,146,,,,0,,possession,special,
40,,60,,70,,352,,60,496407,,1788,219,,,,2,,possession,special,
39,,61,,90,4,352,,61,496791,,1788,287,,,,1,,possession,special,
52,,48,,25,,352,,48,513163,,1789,57,,,,1,,possession,special,
45,,55,,45,,352,,55,513224,,1789,108,,,,3,,possession,special,
44,,56,,70,,352,,56,513297,,1789,147,,,,3,,possession,special,
53,,47,,25,,352,,47,507191,,1790,100,,,,0,,possession,special,
49,,51,,45,3,352,,51,507509,,1790,143,,,,0,,possession,special,
47,,53,,70,,352,,53,507975,,1790,125,,,,3,,possession,special,
49,,51,,90,2,352,,51,508293,,1790,233,,,,0,,possession,special,
55,,45,,25,,352,,45,510328,,1791,65,,,,1,,possession,special,
53,,47,,45,2,352,,47,510544,,1791,112,,,,1,,possession,special,
54,,46,,70,,352,,46,510993,,1791,174,,,,0,,possession,special,
49,,51,,90,7,352,,51,511442,,1791,270,,,,0,,possession,special,
50,,50,,25,,352,,50,507192,,1792,42,,,,5,,possession,special,
44,,56,,45,,352,,56,507455,,1792,114,,,,1,,possession,special,
50,,50,,70,,352,,50,507986,,1792,195,,,,0,,possession,special,
44,,56,,90,,352,,56,508218,,1792,238,,,,0,,possession,special,
56,,44,,24,,352,,44,507180,,1793,58,,,,2,,possession,special,
54,,46,,45,,352,,46,507462,,1793,92,,,,0,,possession,special,
38,,62,,70,,352,,62,507951,,1793,158,,,,0,,possession,special,
47,,53,,90,1,352,,53,508261,,1793,197,,,,1,,possession,special,
58,,42,,26,,352,,42,509600,,1794,100,,,,1,,possession,special,
54,,46,,45,2,352,,46,509789,,1794,116,,,,1,,possession,special,
51,,49,,72,,352,,49,509983,,1794,242,,,,6,,possession,special,
51,,49,,90,5,352,,49,510293,,1794,247,,,,1,,possession,special,
39,,61,,25,,352,,61,510279,,1795,73,,,,0,,possession,special,
43,,57,,45,,352,,57,510531,,1795,117,,,,3,,possession,special,
48,,52,,70,,352,,52,511083,,1795,193,,,,0,,possession,special,
47,,53,,90,,352,,53,511370,,1795,245,,,,3,,possession,special,
45,,55,,25,,352,,55,507201,,1796,55,,,,2,,possession,special,
46,,54,,45,,352,,54,507484,,1796,102,,,,2,,possession,special,
44,,56,,70,,352,,56,507991,,1796,169,,,,2,,possession,special,
47,,53,,90,,352,,53,508279,,1796,217,,,,0,,possession,special,
55,,45,,25,,352,,45,507337,,1797,85,,,,2,,possession,special,
59,,41,,45,1,352,,41,507504,,1797,117,,,,2,,possession,special,
47,,53,,71,,352,,53,507953,,1797,187,,,,0,,possession,special,
49,,51,,90,1,352,,51,508237,,1797,232,,,,0,,possession,special,
47,,53,,24,,352,,53,510966,,1798,54,,,,3,,possession,special,
45,,55,,43,,352,,55,511289,,1798,102,,,,1,,possession,special,
40,,60,,70,,352,,60,511797,,1798,175,,,,1,,possession,special,
42,,58,,90,,352,,58,512018,,1798,213,,,,3,,possession,special,
38,,62,,25,,352,,62,517093,,1799,58,,,,0,,possession,special,
25,,75,,45,,352,,75,517176,,1799,99,,,,2,,possession,special,
30,,70,,70,,352,,70,517489,,1799,164,,,,0,,possession,special,
20,,80,,90,,352,,80,517588,,1799,227,,,,0,,possession,special,
55,,45,,25,,352,,45,515559,,1800,55,,,,2,,possession,special,
51,,49,,45,3,352,,49,515892,,1800,116,,,,1,,possession,special,
46,,54,,70,,352,,54,516360,,1800,169,,,,0,,possession,special,
40,,60,,90,5,352,,60,516677,,1800,234,,,,0,,possession,special,
41,,59,,25,,352,,59,521759,,1801,65,,,,0,,possession,special,
42,,58,,45,,352,,58,521804,,1801,110,,,,0,,possession,special,
48,,52,,70,,352,,52,521887,,1801,192,,,,0,,possession,special,
47,,53,,90,,352,,53,521943,,1801,240,,,,0,,possession,special,
61,,39,,21,,352,,39,519855,,1802,46,,,,4,,possession,special,
37,,63,,41,,352,,63,520118,,1802,57,,,,0,,possession,special,
35,,65,,61,,352,,65,520477,,1802,103,,,,2,,possession,special,
39,,61,,90,1,352,,61,520879,,1802,222,,,,1,,possession,special,
37,,63,,25,,352,,63,515581,,1803,46,,,,0,,possession,special,
40,,60,,45,1,352,,60,515876,,1803,92,,,,1,,possession,special,
46,,54,,72,,352,,54,516398,,1803,155,,,,0,,possession,special,
51,,49,,90,1,352,,49,516686,,1803,216,,,,3,,possession,special,
62,,38,,27,,352,,38,515587,,1804,29,,,,0,,possession,special,
66,,34,,45,1,352,,34,515867,,1804,113,,,,0,,possession,special,
59,,41,,90,1,352,,41,516611,,1804,145,,,,1,,possession,special,
48,,52,,26,,352,,52,514997,,1805,47,,,,1,,possession,special,
50,,50,,45,1,352,,50,515038,,1805,72,,,,1,,possession,special,
77,,23,,63,,352,,23,515084,,1805,136,,,,2,,possession,special,
44,,56,,90,2,352,,56,515179,,1805,202,,,,0,,possession,special,
65,,35,,24,,352,,35,515569,,1806,57,,,,2,,possession,special,
53,,47,,45,1,352,,47,515887,,1806,106,,,,2,,possession,special,
57,,43,,70,,352,,43,516371,,1806,167,,,,0,,possession,special,
54,,46,,90,,352,,46,516629,,1806,209,,,,1,,possession,special,
49,,51,,23,,352,,51,519274,,1807,50,,,,2,,possession,special,
44,,56,,43,,352,,56,519541,,1807,91,,,,1,,possession,special,
48,,52,,70,,352,,52,519941,,1807,141,,,,1,,possession,special,
54,,46,,88,,352,,46,520197,,1807,173,,,,3,,possession,special,
59,,41,,25,,352,,41,515585,,1808,57,,,,2,,possession,special,
51,,49,,45,,352,,49,515875,,1808,109,,,,2,,possession,special,
51,,49,,70,,352,,49,516414,,1808,230,,,,0,,possession,special,
48,,52,,90,,352,,52,516647,,1808,194,,,,0,,possession,special,
44,,56,,25,,352,,56,526865,,1809,99,,,,3,,possession,special,
43,,57,,45,,352,,57,527178,,1809,102,,,,3,,possession,special,
35,,65,,70,,352,,65,527742,,1809,207,,,,0,,possession,special,
30,,70,,90,,352,,70,528054,,1809,210,,,,2,,possession,special,
54,,46,,25,,352,,46,526876,,1810,91,,,,1,,possession,special,
48,,52,,45,2,352,,52,527221,,1810,97,,,,2,,possession,special,
52,,48,,70,,352,,48,527703,,1810,151,,,,2,,possession,special,
52,,48,,90,3,352,,48,528066,,1810,226,,,,3,,possession,special,
66,,34,,25,,352,,34,528274,,1811,58,,,,0,,possession,special,
68,,32,,45,4,352,,32,528378,,1811,125,,,,1,,possession,special,
63,,37,,70,,352,,37,528499,,1811,196,,,,1,,possession,special,
62,,38,,90,4,352,,38,528610,,1811,267,,,,0,,possession,special,
42,,58,,25,,352,,58,526840,,1812,38,,,,1,,possession,special,
47,,53,,45,,352,,53,527237,,1812,98,,,,1,,possession,special,
45,,55,,70,,352,,55,527705,,1812,153,,,,0,,possession,special,
45,,55,,90,1,352,,55,528017,,1812,195,,,,2,,possession,special,
54,,46,,24,,352,,46,525996,,1813,38,,,,0,,possession,special,
45,,55,,44,,352,,55,526089,,1813,102,,,,1,,possession,special,
50,,50,,70,,352,,50,526207,,1813,156,,,,0,,possession,special,
52,,48,,90,,352,,48,526329,,1813,217,,,,1,,possession,special,
37,,63,,24,,352,,63,526846,,1814,53,,,,2,,possession,special,
50,,50,,44,,352,,50,527155,,1814,100,,,,2,,possession,special,
50,,50,,70,,352,,50,527726,,1814,166,,,,2,,possession,special,
55,,45,,87,,352,,45,527984,,1814,194,,,,1,,possession,special,
56,,44,,27,,352,,44,529525,,1815,57,,,,1,,possession,special,
55,,45,,45,1,352,,45,529650,,1815,96,,,,1,,possession,special,
52,,48,,70,,352,,48,529864,,1815,159,,,,5,,possession,special,
72,,28,,87,,352,,28,529944,,1815,186,,,,0,,possession,special,
73,,27,,25,,352,,27,526861,,1816,50,,,,0,,possession,special,
59,,41,,45,,352,,41,527175,,1816,99,,,,1,,possession,special,
56,,44,,70,,352,,44,527811,,1816,205,,,,0,,possession,special,
57,,43,,90,,352,,43,528085,,1816,197,,,,3,,possession,special,
34,,66,,25,,352,,66,526856,,1817,67,,,,0,,possession,special,
40,,60,,45,1,352,,60,527219,,1817,123,,,,4,,possession,special,
40,,60,,70,,352,,60,527722,,1817,172,,,,1,,possession,special,
96,,4,,90,1,352,,4,528037,,1817,216,,,,0,,possession,special,
41,,59,,25,,352,,59,530429,,1818,73,,,,0,,possession,special,
47,,53,,44,,352,,53,530484,,1818,90,,,,2,,possession,special,
37,,63,,70,,352,,63,530716,,1818,165,,,,0,,possession,special,
43,,57,,90,,352,,57,530817,,1818,195,,,,1,,possession,special,
44,,56,,23,,352,,56,551405,,1819,45,,,,0,,possession,special,
38,,62,,32,,352,,62,551452,,1819,58,,,,0,,possession,special,
61,,39,,42,,352,,39,551525,,1819,93,,,,0,,possession,special,
49,,51,,72,,352,,51,551851,,1819,171,,,,0,,possession,special,
39,,61,,25,,352,,61,537062,,1820,50,,,,0,,possession,special,
41,,59,,45,,352,,59,537197,,1820,90,,,,3,,possession,special,
45,,55,,69,,352,,55,537419,,1820,147,,,,1,,possession,special,
50,,50,,90,1,352,,50,537600,,1820,176,,,,0,,possession,special,
48,,52,,45,,352,,52,534708,,1821,160,,,,0,,possession,special,
44,,56,,70,,352,,56,534852,,1821,168,,,,0,,possession,special,
41,,59,,90,,352,,59,534933,,1821,204,,,,0,,possession,special,
78,,22,,25,,352,,22,538295,,1822,42,,,,1,,possession,special,
66,,34,,45,,352,,34,538322,,1822,182,,,,1,,possession,special,
57,,43,,70,,352,,43,538419,,1822,216,,,,0,,possession,special,
56,,44,,90,,352,,44,538441,,1822,201,,,,1,,possession,special,
57,,43,,25,,352,,43,536785,,1823,98,,,,2,,possession,special,
47,,53,,45,,352,,53,536857,,1823,117,,,,0,,possession,special,
48,,52,,70,,352,,52,537067,,1823,153,,,,2,,possession,special,
55,,45,,90,,352,,45,537223,,1823,223,,,,0,,possession,special,
52,,48,,25,,352,,48,533831,,1824,72,,,,0,,possession,special,
56,,44,,45,,352,,44,533979,,1824,107,,,,0,,possession,special,
54,,46,,70,,352,,46,534256,,1824,187,,,,5,,possession,special,
55,,45,,90,,352,,45,534414,,1824,228,,,,3,,possession,special,
45,,55,,45,1,352,,55,533991,,1825,86,,,,1,,possession,special,
47,,53,,70,,352,,53,534297,,1825,169,,,,1,,possession,special,
47,,53,,90,,352,,53,534413,,1825,179,,,,1,,possession,special,
37,,63,,13,,352,,63,533700,,1826,25,,,,0,,possession,special,
42,,58,,26,,352,,58,533806,,1826,47,,,,1,,possession,special,
52,,48,,45,1,352,,48,534014,,1826,108,,,,3,,possession,special,
39,,61,,61,,352,,61,534155,,1826,144,,,,0,,possession,special,
40,,60,,82,,352,,60,534322,,1826,179,,,,0,,possession,special,
51,,49,,17,,352,,49,536075,,1827,46,,,,1,,possession,special,
50,,50,,45,1,352,,50,536227,,1827,129,,,,4,,possession,special,
50,,50,,62,,352,,50,536422,,1827,172,,,,1,,possession,special,
50,,50,,75,,352,,50,536523,,1827,236,,,,1,,possession,special,
50,,50,,24,,352,,50,533800,,1828,40,,,,2,,possession,special,
47,,53,,43,,352,,53,533964,,1828,84,,,,1,,possession,special,
55,,45,,74,,352,,45,534257,,1828,146,,,,0,,possession,special,
51,,49,,90,1,352,,49,534456,,1828,189,,,,0,,possession,special,
34,,66,,25,,352,,66,539640,,1829,69,,,,1,,possession,special,
30,,70,,45,,352,,70,539853,,1829,114,,,,0,,possession,special,
33,,67,,70,,352,,67,540135,,1829,185,,,,0,,possession,special,
